"Location","LocationName","Postcode","AddressLine","HB2014","HSCP2016","CA2011","IZ2011","DZ2011"
"S203H","Chalmers Hospital","EH3 9HQ","55 Lauriston Place, Edinburgh","S08000024","S37000012","S12000036","S02001621","S01008667"
"S206H","Edinburgh Dental Institute","EH3 9HA","4th Floor, Lauriston Building, Lauriston Place, Edinburgh","S08000024","S37000012","S12000036","S02001621","S01008667"
"S209H","Liberton Hospital","EH16 6UB","Lasswade Road, Edinburgh","S08000024","S37000012","S12000036","S02001606","S01008575"
"S217H","Royal Edinburgh Hospital","EH10 5HF","23 Tipperlinn Road, Edinburgh","S08000024","S37000012","S12000036","S02001616","S01008632"
"S225H","Royal Hospital for Sick Children (Edinburgh)","EH9 1LF","9 Sciennes Road, Edinburgh","S08000024","S37000012","S12000036","S02001613","S01008613"
"S232H","Cambridge Street Day Centre","EH1 2DY","5/7 Cambridge Street, Edinburgh","S08000024","S37000012","S12000036","S02001620","S01008660"
"S234H","William Fraser Centre","EH10 5HF","Tipperlinn Road, Edinburgh","S08000024","S37000012","S12000036","S02001616","S01008632"
"S235H","The Islay Centre","EH10 5HF","Tipperlinn Road, Edinburgh","S08000024","S37000012","S12000036","S02001616","S01008632"
"S240H","Glencorse Day Centre","EH26 0QZ","Milton Mill, Milton Bridge, Penicuik","S08000024","S37000018","S12000019","S02002056","S01010956"
"S241H","Bonnyrigg Day Centre","EH22 4RT","Old Library, Bonnyrigg","S08000024","S37000018","S12000019","S02002070","S01011032"
"S243H","Ballenden House","EH8 9HL","28/32 Howden Street, Edinburgh","S08000024","S37000012","S12000036","S02001623","S01008681"
"S305H","St Michael's Hospital","EH49 6QS","Edinburgh Road, Linlithgow","S08000024","S37000030","S12000040","S02002507","S01013441"
"S306H","Tippethill Hospital","EH48 3BQ","Bathgate, West Lothian","S08000024","S37000030","S12000040","S02002499","S01013380"
"S307H","Whitburn Day Hospital","EH47 0SD","1 Weavers Lane, Whitburn","S08000024","S37000030","S12000040","S02002498","S01013376"
"S308H","St John's Hospital","EH54 6PP","Howden West, Livingston, West Lothian","S08000024","S37000030","S12000040","S02002488","S01013309"
"S309H","Inchkeith House","EH6 8NP","137 Leith Walk, Edinburgh","S08000024","S37000012","S12000036","S02001644","S01008796"
"S310H","Ferryfield House","EH5 2HF","100 Pilton Drive, Edinburgh","S08000024","S37000012","S12000036","S02001667","S01008911"
"S311H","Bathgate House Day Hospital","EH48 4PJ","15 North Bridge Street, Bathgate","S08000024","S37000030","S12000040","S02002504","S01013414"
"S312H","Learning Disabilities Service Healthcare Houses","EH10 5EZ","Lothian","S08000024","S37000012","S12000036","S02001616","S01008632"
"S313H","Ellen's Glen House","EH16 6FF","72 Carnbee Avenue, Edinburgh","S08000024","S37000012","S12000036","S02001606","S01008574"
"S314H","Royal Infirmary of Edinburgh at Little France","EH16 4SA","51 Little France Crescent, Old Dalkeith Road, Edinburgh","S08000024","S37000012","S12000036","S02001627","S01008704"
"S315H","Findlay House","EH6 7LG","Seafield Street, Edinburgh","S08000024","S37000012","S12000036","S02001640","S01008768"
"S316H","Princess Alexandra Eye Pavilion","EH3 9HA","45 Chalmers Street, Edinburgh","S08000024","S37000012","S12000036","S02001621","S01008667"
"S317H","Whitburn House","EH47 0DD","12/14 The Avenue, Whitburn, Bathgate, West Lothian","S08000024","S37000030","S12000040","S02002498","S01013374"
"S318H","Midlothian Community Hospital","EH22 3ND","70 Eskbank Road, Dalkeith, Midlothian","S08000024","S37000018","S12000019","S02002063","S01010996"
"S319H","Royal Hospital for Children and Young People","EH16 4TJ","50 Little France Crescent, Edinburgh","S08000024","S37000012","S12000036","S02001604","S01008568"
"S320H","East Lothian Community Hospital","EH41 3PF","Alderson Road, Haddington","S08000024","S37000010","S12000010","S02001548","S01008252"
"D101H","State Hospital","ML11 8RP","Carstairs","S08000032","S37000028","S12000029","S02002356","S01012586"
"D102H","Golden Jubilee National Hospital","G81 4DY","Agamemnon Street, Clydebank","S08000031","S37000029","S12000039","S02002461","S01013131"
"R101H","Balfour Hospital","KW15 1BH","New Scapa Road, Kirkwall","S08000025","S37000022","S12000023","S02002216","S01011820"
"R103H","The Balfour","KW15 1NZ","Foreland Road, Kirkwall, Orkney","S08000025","S37000022","S12000023","S02002215","S01011817"
"Z102H","Gilbert Bain Hospital","ZE1 0TB","Lerwick, Shetland","S08000026","S37000026","S12000027","S02002324","S01012395"
"T101H","Ninewells Hospital","DD1 9SY","Dundee","S08000030","S37000007","S12000042","S02001446","S01007694"
"T104H","Kings Cross Hospital","DD3 8EA","Clepington Road, Dundee","S08000030","S37000007","S12000042","S02001468","S01007825"
"T107H","Royal Victoria Hospital","DD2 1SP","Jedburgh Road, Dundee","S08000030","S37000007","S12000042","S02001445","S01007684"
"T113H","Dundee Dental Hospital","DD1 4HR","2 Park Place, Dundee","S08000030","S37000007","S12000042","S02001446","S01007691"
"T115H","Strathmartine Hospital","DD3 0PG","Strathmartine, Dundee","S08000030","S37000003","S12000041","S02001344","S01007133"
"T116H","Armitstead Child Development Centre","DD3 8EA","Kings Cross Hospital, Clepington Road, Dundee","S08000030","S37000007","S12000042","S02001468","S01007825"
"T120H","Hawkhill Day Hospital","DD1 5LB","Peddie Street, Dundee","S08000030","S37000007","S12000042","S02001446","S01007693"
"T121H","Dundonald Centre","DD3 7PY","Unit 9a Manhattan Works, Dundonald Street, Dundee","S08000030","S37000007","S12000042","S02001452","S01007726"
"T122H","Dudhope House (Young Persons Unit)","DD3 6HH","15 Dudhope Terrace, Dundee","S08000030","S37000007","S12000042","S02001447","S01007700"
"T123H","Royal Victoria Day Hospital","DD2 1SP","Royal Victoria Hospital, Jedburgh Road, Dundee","S08000030","S37000007","S12000042","S02001445","S01007684"
"T202H","Perth Royal Infirmary","PH1 1NX","Taymount Terrace, Perth","S08000030","S37000033","S12000048","S02002231","S01011898"
"T205H","St Margaret's Hospital","PH3 1JH","Western Road, Auchterarder","S08000030","S37000033","S12000048","S02002223","S01011854"
"T207H","Aberfeldy Cottage Hospital","PH15 2DH","Old Crieff Road, Aberfeldy","S08000030","S37000033","S12000048","S02002253","S01012015"
"T209H","Blairgowrie & Rattray Cottage Hospital","PH10 6EE","Perth Road, Blairgowrie","S08000030","S37000033","S12000048","S02002249","S01011991"
"T215H","Murray Royal Hospital","PH2 7BH","Muirhall Road, Perth","S08000030","S37000033","S12000048","S02002240","S01011945"
"T221H","Scone Day Hospital","PH2 6LE","Birch Avenue, Scone","S08000030","S37000033","S12000048","S02002241","S01011950"
"T304H","Arbroath Infirmary","DD11 2AT","Rosemount Road, Arbroath","S08000030","S37000003","S12000041","S02001352","S01007181"
"T305H","Brechin Infirmary","DD9 7AN","Infirmary Street, Brechin","S08000030","S37000003","S12000041","S02001361","S01007234"
"T309H","Little Cairnie Hospital","DD11 3RA","Forfar Road, Arbroath","S08000030","S37000003","S12000041","S02001351","S01007174"
"T310H","Montrose Royal Infirmary","DD10 8AJ","Bridge Street, Montrose","S08000030","S37000003","S12000041","S02001357","S01007208"
"T312H","Stracathro Hospital","DD9 7QA","By Brechin","S08000030","S37000003","S12000041","S02001359","S01007225"
"T313H","Whitehills Hospital","DD8 3DY","By Forfar","S08000030","S37000003","S12000041","S02001364","S01007252"
"T314H","Gowanlea","DD11 5DX","Seaton Road, Arbroath","S08000030","S37000003","S12000041","S02001353","S01007189"
"T316H","Crieff Community Hospital","PH7 3HR","King Street, Crieff","S08000030","S37000033","S12000048","S02002226","S01011870"
"T317H","Carseview Centre","DD2 1NH","4 Tom McDonald Avenue, Medipark, Dundee","S08000030","S37000007","S12000042","S02001471","S01007839"
"T319H","Whitehills Health and Community Care Centre","DD8 3DY","By Forfar","S08000030","S37000003","S12000041","S02001364","S01007252"
"T320H","Pitlochry Community Hospital","PH16 5FG","Ferry Road, Pitlochry, Perthshire","S08000030","S37000033","S12000048","S02002252","S01012010"
"T321H","Perth Dental Hospital","PH1 1RA","Broxden Business Park, Perth","S08000030","S37000033","S12000048","S02002232","S01011899"
"T322H","Kingsway Care Centre","DD2 3PT","Kings Cross Road, Dundee","S08000030","S37000007","S12000042","S02001468","S01007826"
"T323H","Bluebell Intermediate Care Unit","DD2 5JB","Riverside View Nursing Home, 60 Clovis Duveau Drive, Dundee","S08000030","S37000007","S12000042","S02001475","S01007869"
"T324H","Dudhope Young Peoples Inpatient Unit","DD3 6HH","17 Dudhope Terrace, Dundee","S08000030","S37000007","S12000042","S02001447","S01007700"
"T325H","CAMHS Hospital Unit","DD3 6HH","17 Dudhope Terrace, Dundee","S08000030","S37000007","S12000042","S02001447","S01007700"
"W106H","St Brendans Cot Hospital","HS9 5XE","Horve, Isle of Barra","S08000028","S37000031","S12000013","S02001687","S01009014"
"W107H","Western Isles Hospital","HS1 2AF","Macaulay Road, Stornoway, Isle of Lewis","S08000028","S37000031","S12000013","S02001694","S01009045"
"W108H","Uist & Barra Hospital","HS7 5LA","Balivanich, Isle of Benbecula","S08000028","S37000031","S12000013","S02001688","S01009020"
